No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
45,Vaporwave,General,"Synthwave, retro-futuristic, 80s-90s, neon, glitch, nostalgic, sunset gradient, dreamy, aesthetic",#FF71CE（粉色）、#01CDFE（青色）、#05FFA1（薄荷色）、#B967FF（紫色）,日落渐变、故障叠加、VHS 效果、霓虹灯、柔和的变化,文本阴影发光、线性渐变、滤镜：hue-rotate()、毛刺动画、复古扫描线,音乐平台、游戏、创意组合、科技初创公司、娱乐、艺术项目,商业应用、电子商务、教育、医疗保健、企业软件,✓ Full,✓ Dark focused,⚠ 中等,⚠ 差（运动）,◐ 中等,◐ 中等,Tailwind 8/10，CSS-in-JS 9/10,80-90 年代复古,中,"Design a vaporwave aesthetic interface. Use: sunset gradients (pink/cyan/purple), 80s-90s nostalgia, glitch effects, Greek statue imagery, palm trees, grid patterns, neon glow, retro-futuristic feel, dreamy atmosphere.","background: linear-gradient(180deg, #FF71CE, #01CDFE, #B967FF), filter: hue-rotate(), text-shadow: neon glow, retro grid (perspective + linear-gradient), VHS scanlines",存在日落渐变，应用霓虹灯发光，复古网格可见，毛刺效果微妙，梦幻氛围，80-90 年代美学,"--vapor-pink: #FF71CE, --vapor-cyan: #01CDFE, --vapor-mint: #05FFA1, --vapor-purple: #B967FF, --grid-color:RGBA(255,255,255,0.1), --glow-intensity: 15px"
46,Dimensional Layering,General,"Depth, overlapping, z-index, layers, 3D, shadows, elevation, floating, cards, spatial hierarchy",中性底色（#FFFFFF、#F5F5F5、#E0E0E0）+ 提升元素的品牌特色,阴影变化（sm/md/lg/xl）、立面颜色、顶层的高亮颜色,z-index 堆叠、盒阴影高度（4 级）、变换：translateZ()、背景滤镜、视差,仪表板、卡片布局、模式、导航、产品展示、SaaS 界面,印刷风格的布局、简单的博客、低端设备、扁平化设计要求,✓ Full,✓ Full,⚠ 好,⚠ 中等（SR 问题）,✓ 好,✓ 高,Tailwind 10/10、MUI 10/10、Chakra UI 10/10,2020 年代现代,中,"Design with dimensional layering. Use: z-index depth (multiple layers), overlapping cards, elevation shadows (4 levels), floating elements, parallax depth, backdrop blur for hierarchy, spatial UI feel.","z-index: 1-4 levels, box-shadow: elevation scale (sm/md/lg/xl), transform: translateZ(), backdrop-filter: blur(), position: relative for stacking, parallax on scroll",分层清晰定义，阴影显示深度，故意重叠，层次结构清晰，性能优化，移动深度保持,"--elevation-1:0 1px 3px rgba(0,0,0,0.1), --elevation-2:0 4px 6px rgba(0,0,0,0.1), --elevation-3:0 10px 20px rgba(0,0,0,0.1), --elevation-4:0 20px 40px rgba(0,0,0,0.15), --blur-amount: 8px"
47,Exaggerated Minimalism,General,"Bold minimalism, oversized typography, high contrast, negative space, loud minimal, statement design",#000000（黑色），#FFFFFF（白色），仅单一充满活力的口音,极简——单一强调色，无辅助色，极度克制,字体大小：clamp(3rem 10vw 12rem)，字体粗细：900，字母间距：-0.05em，大量空白,时尚、建筑、作品集、代理登陆页面、奢侈品牌、社论,电子商务目录、仪表板、表单、数据量大、老年用户、复杂应用程序,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,Tailwind 10/10，Typography.js 10/10,2020 年代现代,低,"Design with exaggerated minimalism. Use: oversized typography (clamp 3rem-12rem), extreme negative space, black/white primary, single accent color only, bold statements, minimal elements, dramatic contrast.","font-size: clamp(3rem, 10vw, 12rem), font-weight: 900, letter-spacing: -0.05em, color: #000 or #FFF, padding: 8rem+, single accent, no decorations",字体过大，空白极端，黑白为主，仅单一重音，元素最少，声明清晰,"--type-giant:夹具(3rem, 10vw, 12rem), --type-weight: 900, --spacing-huge: 8rem, --color-primary: #000000, --color-bg: #FFFFFF, --accent:仅单色"
48,Kinetic Typography,General,"Motion text, animated type, moving letters, dynamic, typing effect, morphing, scroll-triggered text",灵活 - 建议使用高对比度、强调颜色的大胆、适合动画的调色板,强调的强调色、过渡色、渐变文本填充,@keyframes 文本动画、打字效果、背景剪辑：文本、GSAP ScrollTrigger、分割文本,英雄版块、营销网站、视频平台、讲故事、创意组合、登陆页面,长篇内容、可访问性关键、数据接口、表格、老年用户,✓ Full,✓ Full,⚠ 中等,❌ 无障碍差（易致晕动症）,✓ 好,✓ 非常高,GSAP 10/10，Framer Motion 10/10,2020 年代现代,高,"Design with kinetic typography. Use: animated text, scroll-triggered reveals, typing effects, letter-by-letter animations, morphing text, gradient text fills, oversized hero text, text as the main visual element.","@keyframes for text animation, background-clip: text, GSAP SplitText, typing effect (steps()), transform on letters, scroll-triggered (Intersection Observer), variable fonts for morphing",文字动画流畅，尊重减弱动画偏好，无 JS 的后备，移动性能良好，打字效果定时，滚动触发工作,"--text-animation-duration: 1s, --letter-delay: 0.05s, --typing-speed: 100ms, --gradient-text:线性渐变(90deg, #color1, #color2), --morph-duration: 0.5s"
49,Parallax Storytelling,General,"Scroll-driven, narrative, layered scrolling, immersive, progressive disclosure, cinematic, scroll-triggered",取决于故事，通常是渐变和自然色，特定于部分的调色板,截面过渡颜色、深度图层颜色、叙事情绪颜色,变换：translateY(scroll)，位置：固定/粘性，视角：1px，滚动触发的动画,品牌故事、产品发布、案例研究、投资组合、年度报告、营销活动,电子商务、仪表板、移动优先、SEO 关键、可访问性要求,✓ Full,✓ Full,❌ 性能较差,❌ 无障碍差（易致晕动症）,✗ 低,✓ 高,GSAP ScrollTrigger 10/10、Locomotive Scroll 10/10,2020 年代现代,高,"Design a parallax storytelling page. Use: scroll-driven narrative, layered backgrounds (3-5 layers), fixed/sticky sections, cinematic transitions, progressive disclosure, full-screen chapters, depth perception.","position: fixed/sticky, transform: translateY(calc()), perspective: 1px, z-index layering, scroll-snap-type, Intersection Observer for triggers, will-change: transform",分层视差平滑，故事自然流畅，提供移动替代方案，性能优化，提供跳过选项，减少运动回退,"--parallax-speed-bg: 0.3, --parallax-speed-mid: 0.6, --parallax-speed-fg: 1, --section-height:100 伏小时, --transition-duration: 600ms, --perspective: 1px"
50,Swiss Modernism 2.0,General,"Grid system, Helvetica, modular, asymmetric, international style, rational, clean, mathematical spacing",#000000、#FFFFFF、#F5F5F5、仅单个充满活力的口音,最小次要，仅强调强调，无渐变,显示：网格，网格模板列：重复（12 1fr），间隙：1rem，数学比率，清晰的层次结构,企业网站、架构、编辑、SaaS、博物馆、专业服务、文档,好玩的品牌、儿童网站、娱乐、游戏、情感故事讲述,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 高,Tailwind 10/10、Bootstrap 9/10、基础 10/10,2020 年代 20 世纪 50 年代瑞士,低,"Design with Swiss Modernism 2.0. Use: strict grid system (12 columns), Helvetica/Inter fonts, mathematical spacing, asymmetric balance, high contrast, minimal decoration, clean hierarchy, single accent color.","display: grid, grid-template-columns: repeat(12, 1fr), gap: 1rem (8px base unit), font-family: Inter/Helvetica, font-weight: 400-700, color: #000/#FFF, single accent",严格 12 列网格、数学间距、排版层次清晰、仅单一重音、无装饰、高对比度经过验证,"--grid-columns: 12, --grid-gap: 1rem, --base-unit: 8px, --font-primary:国际米兰, --color-text: #000000, --color-bg: #FFFFFF, --accent:单一充满活力"
51,HUD / Sci-Fi FUI,General,"Futuristic, technical, wireframe, neon, data, transparency, iron man, sci-fi, interface",霓虹青色 #00FFFF、全息蓝 #0080FF、警报红 #FF0000,透明黑色，网格线#333333,发光效果、扫描动画、股票行情文本、闪烁标记、细线绘制,科幻游戏、太空技术、网络安全、电影道具、沉浸式仪表板,标准企业、阅读重内容、无障碍公共服务,✓ Low,✓ Full,⚠ 中等（渲染）,⚠ 差（细线）,◐ 中等,✗ 低,React 9/10，画布 10/10,2010 年代科幻,高,"Design a futuristic HUD (Heads Up Display) or FUI. Use: thin lines (1px), neon cyan/blue on black, technical markers, decorative brackets, data visualization, monospaced tech fonts, glowing elements, transparency.","border: 1px solid rgba(0,255,255,0.5), color: #00FFFF, background: transparent or rgba(0,0,0,0.8), font-family: monospace, text-shadow: 0 0 5px cyan",1px 细线、霓虹灯发光文本/边框、等宽字体、深色/透明 BG、装饰性技术标记、全息感觉,"--hud-color: #00FFFF, --bg-color:RGBA(0,10,20,0.9), --line-width: 1px, --glow:0 0 5px, --font:等宽字体"
52,Pixel Art,General,"Retro, 8-bit, 16-bit, gaming, blocky, nostalgic, pixelated, arcade",原色（NES 调色板）、亮色、有限调色板,黑色轮廓，通过抖动或块颜色进行着色,逐帧精灵动画、闪烁光标、即时过渡、选取框文本,独立游戏、复古工具、创意组合、怀旧营销、Web3/NFT,专业企业、现代 SaaS、高分辨率摄影网站,✓ Full,✓ Full,⚡ 非常好,✓ 良好（如果对比度正常）,✓ 高,◐ 中等,CSS（框阴影）8/10，画布 10/10,20 世纪 80 年代街机,中,"Design a pixel art inspired interface. Use: pixelated fonts, 8-bit or 16-bit aesthetic, sharp edges (image-rendering: pixelated), limited color palette, blocky UI elements, retro gaming feel.","font-family: 'Press Start 2P', image-rendering: pixelated, box-shadow: 4px 0 0 #000 (pixel border), no anti-aliasing",加载像素化字体，图像清晰（无模糊），像素边框的 CSS 框阴影，复古调色板，块状布局,"--pixel-size: 4px, --font:像素字体, --border-style:像素阴影, --anti-alias: none"
53,Bento Grids,General,"Apple-style, modular, cards, organized, clean, hierarchy, grid, rounded, soft",灰白色#F5F5F7，干净白色#FFFFFF，文字#1D1D1F,微妙的口音、柔和的阴影、模糊的背景,悬停比例 (1.02)、软阴影扩展、平滑布局转换、内容显示,产品功能、仪表板、个人网站、营销摘要、图库,长篇阅读、数据表格、复杂表格,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,CSS 网格 10/10，Tailwind 10/10,2020 年代苹果/线性,低,"Design a Bento Grid layout. Use: modular grid system, rounded corners (16-24px), different card sizes (1x1, 2x1, 2x2), card-based hierarchy, soft backgrounds (#F5F5F7), subtle borders, content-first, Apple-style aesthetic.","display: grid, grid-template-columns: repeat(auto-fit, minmax(...)), gap: 1rem, border-radius: 20px, background: #FFF, box-shadow: subtle",网格布局（CSS 网格）、圆角 16-24px、多种卡片跨度、内容适合卡片尺寸、响应式重流、类似 Apple 的美感,"--grid-gap: 20px, --card-radius: 24px, --card-bg: #FFFFFF, --page-bg: #F5F5F7, --shadow:软的"
54,Spatial UI (VisionOS),General,"Glass, depth, immersion, spatial, translucent, gaze, gesture, apple, vision-pro",磨砂玻璃#FFFFFF（15-30% 不透明度），系统白色,活跃状态的鲜艳系统颜色，深度的深阴影,视差深度、动态光照响应、凝视悬停效果、焦点平滑缩放,空间计算应用程序、VR/AR 界面、沉浸式媒体、未来仪表板,文本较多的文档、高对比度要求、不支持 3D 的设备,✓ Full,✓ Full,⚠ 中等（模糊成本）,⚠ 对比风险,✓ 高（如果适用）,✓ 高,SwiftUI、React（Three.js/Fiber）,2024 空间时代,高,"Design a VisionOS-style spatial interface. Use: frosted glass panels, depth layers, translucent backgrounds (15-30% opacity), vibrant colors for active states, gaze-hover effects, floating windows, immersive feel.","backdrop-filter: blur(40px) saturate(180%), background: rgba(255,255,255,0.2), border-radius: 24px, box-shadow: 0 8px 32px rgba(0,0,0,0.1), transform: scale on focus, depth via shadows",可见玻璃效果，深度层清晰，定义悬停状态，活动时颜色鲜艳，实现浮动感，保持对比度,"--glass-bg:RGBA(255,255,255,0.2), --glass-blur: 40px, --glass-saturate: 180%, --window-radius: 24px, --depth-shadow:0 8px 32px rgba(0,0,0,0.1), --focus-scale: 1.02"
55,E-Ink / Paper,General,"Paper-like, matte, high contrast, texture, reading, calm, slow tech, monochrome",灰白色 #FDBFF7、纸白色 #F5F5F5、墨黑色 #1A1A1A,铅笔灰色 #4A4A4A，荧光笔黄色 #FFFF00（强调色）,无运动模糊、明显的翻页、颗粒/噪声纹理、锐利的过渡（无褪色）,阅读应用程序、数字报纸、极简期刊、无干扰写作、慢活品牌,游戏、视频平台、高能营销、依赖黑暗黑模式的应用程序,✓ Full,✗ Low (inverted only),⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 中等,Tailwind 10/10，CSS 10/10,2020 年代的数字福祉,低,"Design an e-ink/paper style interface. Use: high contrast black on off-white, paper texture, no animations (instant transitions), reading-focused, minimal UI chrome, distraction-free, calm aesthetic, monochrome.","background: #FDFBF7 (paper white), color: #1A1A1A, transition: none, font-family: serif for reading, no gradients, border: 1px solid #E0E0E0, texture overlay (noise)",纸张背景颜色、高对比度文本、无动画、阅读优化、无干扰、适合打印,"--paper-bg: #FDFBF7, --ink-color: #1A1A1A, --pencil-grey: #4A4A4A, --border-color: #E0E0E0, --font-reading:格鲁吉亚, --transition: none"
56,Gen Z Chaos / Maximalism,General,"Chaos, clutter, stickers, raw, collage, mixed media, loud, internet culture, ironic",冲突明亮：#FF00FF、#00FF00、#FFFF00、#0000FF,渐变、彩虹、故障、噪声、重饱和混合,字幕滚动、抖动、贴纸分层、GIF 过载、随机放置、拖放,Z 世代生活方式品牌、音乐艺术家、创意组合、病毒式营销、时尚,企业、政府、医疗保健、银行、重要工具,✓ Full,✓ Full,⚠ 较差（依赖重度资源）,❌ 性能较差,◐ 中等,✓ 高（病毒式传播）,CSS-in-JS 8/10,2023+ 互联网核心,高,"Design a Gen Z chaos maximalist interface. Use: clashing bright colors, sticker overlays, collage aesthetic, raw/unpolished feel, mixed media, ironic elements, loud typography, GIF-heavy, internet culture references.","mix-blend-mode: multiply/screen, transform: rotate(random), animation: jitter, marquee text, position: absolute for scattered elements, filter: saturate(150%), z-index chaos",故意颜色冲突，存在贴纸/覆盖层，布局混乱但可用，GIF 优化，移动设备可滚动，性能可接受,"--chaos-pink: #FF00FF, --chaos-green: #00FF00, --chaos-yellow: #FFFF00, --chaos-blue: #0000FF, --jitter-amount: 5deg, --saturate: 150%"
57,Biomimetic / Organic 2.0,General,"Nature-inspired, cellular, fluid, breathing, generative, algorithms, life-like",细胞粉红 #FF9999、叶绿素绿 #00FF41、生物发光蓝,深海 #001E3C、珊瑚色 #FF7F50、有机渐变,呼吸动画、流体变形、生成生长、基于物理的运动,可持续发展技术、生物技术、先进健康、冥想、生成艺术平台,标准 SaaS、数据网格、严格的企业、会计,✓ Full,✓ Full,⚠ 中等,✓ 好,✓ 好,✓ 高,画布 10/10、WebGL 10/10,2024+ 生成,高,"Design a biomimetic organic interface. Use: cellular/fluid shapes, breathing animations, generative patterns, bioluminescent colors, physics-based movement, nature algorithms, life-like elements, flowing gradients.","SVG morphing (SMIL or GSAP), canvas for generative, animation: breathing (scale pulse), filter: blur for organic, clip-path for cellular, WebGL for advanced, physics libraries",有机形状呈现，动画感觉生动，生成元素，监控性能，移动后备，辅助功能替代内容,"--cellular-pink: #FF9999, --chlorophyll: #00FF41, --bioluminescent: #00FFFF, --breathing-duration: 4s, --morph-ease:三次贝塞尔曲线(0.4, 0, 0.2, 1), --organic-blur: 20px"
58,Anti-Polish / Raw Aesthetic,General,"Hand-drawn, collage, scanned textures, unfinished, imperfect, authentic, human, sketch, raw marks, creative process",纸白色 #FAFAF8、铅笔灰色 #4A4A4A、记号笔黑色 #1A1A1A、牛皮纸棕色 #C4A77D,水彩水洗、铅笔阴影、墨水飞溅、胶带纹理、老化纸张色调,无平滑过渡、手绘动画、纸张纹理叠加、抖动效果、草图显示,创意作品集、艺术家网站、独立品牌、手工产品、真实的故事讲述、社论,公司企业、金融科技、医疗保健、政府、完善的 SaaS,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,CSS 10/10、SVG 10/10,2025+ 反数字化,低,"Design with anti-polish raw aesthetic. Use: hand-drawn elements, scanned textures, unfinished look, paper/pencil textures, collage style, authentic imperfection, sketch marks, tape/sticker overlays, human touch.","background: url(paper-texture.png), filter: grayscale() contrast(), border: hand-drawn SVG, transform: rotate(small random), no smooth transitions, sketch-style fonts, opacity variations",加载纹理，存在手绘元素，故意的缺陷，实现真实的感觉，纹理性能良好，保持可访问性,"--paper-bg: #FAFAF8, --pencil-color: #4A4A4A, --marker-black: #1A1A1A, --kraft-brown: #C4A77D, --sketch-rotation:随机(-3deg, 3deg), --texture-opacity: 0.3"
59,Tactile Digital / Deformable UI,General,"Jelly buttons, chrome, clay, squishy, deformable, bouncy, physical, tactile feedback, press response",渐变金属色、铬银 #C0C0C0、果冻粉 #FF9ECD、柔和蓝 #87CEEB,光泽高光、阴影深度、反射效果、特定于材质的颜色,按压变形（缩放 + 挤压）、反弹（三次贝塞尔曲线）、材料响应、类触觉反馈、弹簧物理,现代移动应用程序、有趣的品牌、娱乐、游戏 UI、消费产品、交互式演示,企业软件、数据仪表板、可访问性关键的专业工具,✓ Full,✓ Full,⚠ 好,⚠ 动作敏感,✓ 高,✓ 非常高,Framer Motion 10/10、React 弹簧 10/10、GSAP 10/10,2025+ 触觉时代,中,"Design a tactile deformable interface. Use: jelly/squishy buttons, press deformation effect, bounce-back animations, chrome/clay materials, spring physics, haptic-like feedback, material response, 3D depth on interaction.","transform: scale(0.95) on active, animation: bounce (cubic-bezier(0.34, 1.56, 0.64, 1)), box-shadow: inset for press, filter: brightness on press, spring physics (react-spring/framer-motion)",明显的按压效果，弹回平滑，材料有触觉，弹簧物理调整，移动触摸响应，减少运动选项,"--press-scale: 0.95, --bounce-duration: 400ms, --spring-stiffness: 300, --spring-damping: 20, --material-glossy:线性渐变(135deg, white 0%, transparent 60%), --depth-shadow:0 10px 30px rgba(0,0,0,0.2)"
60,Nature Distilled,General,"Muted earthy, skin tones, wood, soil, sand, terracotta, warmth, organic materials, handmade warmth",赤土色 #C67B5C、沙米色 #D4C4A8、暖粘土 #B5651D、软奶油色 #F5F0E1,土棕色 #8B4513、橄榄绿 #6B7B3C、暖石色 #9C8B7A、柔和渐变,微妙的视差、自然缓动（缓出）、纹理叠加、颗粒效果、柔和阴影,健康品牌、可持续产品、工艺品、有机食品、水疗/美容、家居装饰,科技初创公司、游戏、夜生活、企业融资、高能量品牌,✓ Full,◐ Partial,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,Tailwind 10/10，CSS 10/10,2025+ 手工温暖,低,"Design with nature distilled aesthetic. Use: muted earthy colors (terracotta, sand, olive), organic materials feel, warm tones, handmade warmth, natural textures, artisan quality, sustainable vibe, soft gradients.","background: warm earth tones, color: #C67B5C #D4C4A8 #6B7B3C, border-radius: organic (varied), box-shadow: soft natural, texture overlays (grain), font: humanist sans-serif",† 以大地色调为主， † 实现温暖的感觉， † 微妙的纹理， † 手工制作的品质， † 可持续的信息传递， † 平静的美感,"--terracotta: #C67B5C, --sand-beige: #D4C4A8, --warm-clay: #B5651D, --soft-cream: #F5F0E1, --olive-green: #6B7B3C, --grain-opacity: 0.1"
61,Interactive Cursor Design,General,"Custom cursor, cursor as tool, hover effects, cursor feedback, pointer transformation, cursor trail, magnetic cursor",品牌相关的光标强调色、高对比度可见度,轨迹颜色、悬停状态颜色、磁区指示器、反馈颜色,悬停时光标缩放、对元素的磁力拉动、光标变形、轨迹效果、混合模式光标、单击反馈,创意组合、互动体验、代理网站、产品展示、游戏、娱乐,移动优先（无光标）、可访问性关键、数据密集的仪表板、表单,✓ Full,✓ Full,⚡ 好,⚠ 不适用于触摸/SR,✗ 无光标,✓ 高,GSAP 10/10、Framer Motion 10/10、自定义 JS 10/10,2025+ 互动,中,"Design with interactive cursor effects. Use: custom cursor, cursor morphing on hover, magnetic cursor pull, cursor trails, blend mode cursors, click feedback animations, cursor as interaction tool, pointer transformation.","cursor: none (custom), position: fixed for cursor element, mix-blend-mode: difference, transform on hover targets, magnetic effect (JS position lerp), trail with opacity fade, scale on click",自定义光标有效，悬停变形平滑，磁力拉力微妙，轨迹性能良好，点击反馈可见，提供触摸回退,"--cursor-size: 20px, --cursor-hover-scale: 1.5, --magnetic-distance: 100px, --trail-length: 10, --trail-fade: 0.1, --blend-mode:差异"
62,Voice-First Multimodal,General,"Voice UI, multimodal, audio feedback, conversational, hands-free, ambient, contextual, speech recognition",平静的中性色：柔和的白色#FAFAFA、柔和的蓝色#6B8FAF、温柔的紫色#9B8FBB,音频波形颜色、状态指示器（收听/处理/说话）、成功/错误音,语音波形可视化、聆听脉冲、处理旋转器、说话动画、平滑过渡,语音助手、无障碍应用、免提工具、智能家居、汽车用户界面、烹饪应用,视觉密集的内容、数据输入、复杂的形式、嘈杂的环境,✓ Full,✓ Full,⚡ 非常好,✓ 优秀,✓ 高,✓ 高,网络语音 API 10/10，React 10/10,2025+ 语音时代,中,"Design a voice-first multimodal interface. Use: voice waveform visualization, listening state indicator, speaking animation, minimal visible UI, audio feedback cues, hands-free optimized, conversational flow, ambient design.","Web Speech API integration, canvas for waveform, animation: pulse for listening, status indicators (color change), audio visualization (Web Audio API), minimal chrome, large touch targets",声音识别有效，视觉反馈清晰，聆听状态明显，说话动画流畅，提供后备 UI，辅助功能极佳,"--listening-color: #6B8FAF, --speaking-color: #22C55E, --waveform-height: 60px, --pulse-duration: 1.5s, --indicator-size: 24px, --voice-accent: #9B8FBB"
63,3D Product Preview,General,"360 product view, rotatable, zoomable, touch-to-spin, AR preview, product configurator, interactive 3D model",取决于产品的中性背景：柔和灰色 #E8E8E8、纯白色 #FFFFFF,阴影渐变、反射平面、环境照明颜色、重点高光,拖动旋转、捏合缩放、旋转动画、AR 放置、材质切换、平滑轨道控制,电子商务、家具、时尚、汽车、电子、珠宝、产品配置器,内容丰富的网站、博客、仪表板、低带宽、可访问性至关重要,◐ Partial,◐ Partial,❌ 较差（3D 渲染）,⚠ 需要替代内容,◐ 中等,✓ 非常高,Three.js 10/10、模型查看器 10/10、样条线 9/10,2025+ 电子商务 3D,高,"Design a 3D product preview interface. Use: 360° rotation, drag-to-spin, pinch-to-zoom, AR preview button, material/color switcher, hotspot annotations, orbit controls, product configurator, smooth rendering.","Three.js or model-viewer, OrbitControls, touch events for rotation, WebXR for AR, canvas with WebGL, loading placeholder, LOD for performance, environment lighting",3D 模型加载速度快，旋转流畅，缩放有效（捏合/滚动），AR 按钮功能正常，颜色可切换，移动触摸有效,"--canvas-bg: #F5F5F5, --hotspot-color: #3B82F6, --loading-spinner:小学, --rotation-speed: 0.5, --zoom-min: 0.5, --zoom-max: 2"
64,Gradient Mesh / Aurora Evolved,General,"Complex gradients, mesh gradients, multi-color blend, aurora effect, flowing colors, iridescent, holographic, prismatic",多级渐变：青色 #00FFFF、洋红色 #FF00FF、黄色 #FFFF00、蓝色 #0066FF、绿色 #00FF66,互补的网格点、平滑的颜色过渡、彩虹色叠加、色移,CSS 网格渐变（实验）、SVG 渐变、画布渐变、平滑颜色变形、流动动画,英雄栏目、背景、创意品牌、音乐平台、时尚、生活方式、优质产品,数据界面、文本较多的内容、可访问性至关重要、保守的品牌,✓ Full,✓ Full,⚠ 好,⚠ 文字对比,✓ 好,✓ 高,CSS 8/10、SVG 10/10、画布 10/10,2025+ 梯度进化,中,"Design with gradient mesh aurora effect. Use: multi-color mesh gradients, flowing color transitions, aurora/northern lights feel, iridescent overlays, holographic shimmer, prismatic effects, smooth color morphing.","background: conic-gradient or mesh (SVG), animation: gradient flow (background-position), filter: hue-rotate for shimmer, mix-blend-mode: screen, canvas for complex mesh, multiple gradient layers",网格渐变可见，颜色流畅，实现极光效果，性能可接受，文本保持可读，移动渲染正常,"--mesh-color-1: #00FFFF, --mesh-color-2: #FF00FF, --mesh-color-3: #FFFF00, --mesh-color-4: #00FF66, --flow-duration: 10s, --shimmer-intensity: 0.3"
65,Editorial Grid / Magazine,General,"Magazine layout, asymmetric grid, editorial typography, pull quotes, drop caps, column layout, print-inspired",高对比度：黑色 #000000、白色 #FFFFFF、强调品牌颜色,静音支持、重要引文突出显示、署名颜色、部分分隔线,平滑滚动、滚动显示、视差图像、文本动画、翻页过渡,新闻网站、博客、杂志、社论内容、长篇文章、新闻、出版,仪表板、应用程序、电子商务目录、实时数据、简短内容,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 中等,CSS 网格 10/10，Tailwind 10/10,2020 年代社论数字,低,"Design an editorial magazine layout. Use: asymmetric grid, pull quotes, drop caps, multi-column text, large imagery, bylines, section dividers, print-inspired typography, article hierarchy, white space balance.","display: grid with named areas, column-count for text, ::first-letter for drop caps, blockquote styling, figure/figcaption, gap variations, font: serif for body, variable widths",网格不对称，版式编辑，拉引号样式，首字下沉，图像大/有影响力，移动回流良好,"--grid-cols:不对称的, --body-font:佐治亚州/梅里韦瑟, --heading-font:粗体无字体, --drop-cap-size: 4em, --pull-quote-size: 1.5em, --column-gap: 2rem"
66,Chromatic Aberration / RGB Split,General,"RGB split, color fringing, glitch, retro tech, VHS, analog error, distortion, lens effect",偏移 RGB：红色 #FF0000、绿色 #00FF00、蓝色 #0000FF、黑色 #000000,霓虹灯、扫描线、噪声叠加、错误颜色,RGB 偏移动画、毛刺时序、扫描线移动、噪声闪烁、悬停失真,音乐平台、游戏、科技品牌、创意组合、夜生活、娱乐、视频平台,企业、医疗保健、金融、无障碍关键、老年用户,✓ Full,✓ Dark preferred,⚠ 好,⚠ 可能导致拉伤,◐ 中等,✓ 高,CSS 过滤器 10/10、GSAP 10/10,2020 年代复古科技,中,"Design with chromatic aberration RGB split effect. Use: color channel offset (R/G/B), glitch aesthetic, retro tech feel, VHS error look, lens distortion, scan lines, noise overlay, analog imperfection.","filter: drop-shadow with offset colors, text-shadow: RGB offset (-2px 0 red, 2px 0 cyan), animation: glitch (random offset), ::before for scanlines, mix-blend-mode: screen for overlays",RGB 分割可见，毛刺效果受控制，扫描线微妙，性能良好，可读性保持，减少运动选项,"--rgb-offset: 2px, --red-channel: #FF0000, --green-channel: #00FF00, --blue-channel: #0000FF, --glitch-duration: 0.3s, --scanline-opacity: 0.1"
67,Vintage Analog / Retro Film,General,"Film grain, VHS, cassette tape, polaroid, analog warmth, faded colors, light leaks, vintage photography",褪色奶油色 #F5E6C8、温暖棕褐色 #D4A574、柔和青色 #4A7B7C、柔和粉色 #E8B4B8,颗粒覆盖、漏光橙色、阴影蓝色、复古纸色调、去饱和色调,胶片颗粒叠加、VHS 跟踪效果、宝丽来抖动、淡入过渡、漏光动画,摄影作品集、音乐/黑胶品牌、复古时尚、怀旧营销、电影业、咖啡馆,现代科技、SaaS、医疗保健、儿童应用、企业企业,✓ Full,◐ Partial,⚡ 好,✓ WCAG AA,✓ 高,✓ 高,CSS 过滤器 10/10，画布 9/10,1970 年代至 90 年代模拟复兴,中,"Design with vintage analog film aesthetic. Use: film grain overlay, faded/desaturated colors, warm sepia tones, light leaks, VHS tracking effect, polaroid frame, analog warmth, nostalgic photography feel.","filter: sepia() contrast() saturate(0.8), background: noise texture overlay, animation: VHS tracking (transform skew), light leak gradient overlay, border for polaroid frame, grain via SVG filter",电影颗粒可见，颜色褪色/温暖，存在漏光，实现怀旧感，滤镜性能，图像看起来复古,"--sepia-amount: 20%, --contrast: 1.1, --saturation: 0.8, --grain-opacity: 0.15, --light-leak-color:RGBA(255,200,100,0.2), --warm-tint: #F5E6C8"
